,"('delta',)","('lambda',)",delta_pred,lambda_pred
5667,0.4,0.5,0.473,0.309
5668,0.467,0.1,0.473,0.309
5669,0.6,0.367,0.473,0.309
5670,0.533,0.1,0.473,0.309
5671,0.533,0.367,0.503,0.27
5672,0.6,0.1,0.534,0.231
5673,0.467,0.367,0.534,0.231
5674,0.533,0.233,0.467,0.357
5675,0.4,0.367,0.473,0.309
5676,0.6,0.1,0.473,0.309
5677,0.467,0.233,0.503,0.27
5678,0.533,0.5,0.473,0.309
5679,0.467,0.5,0.534,0.231
5680,0.6,0.5,0.467,0.365
5681,0.4,0.1,0.503,0.27
5682,0.6,0.233,0.473,0.309
5683,0.6,0.367,0.534,0.231
5684,0.467,0.367,0.467,0.357
5685,0.467,0.5,0.467,0.357
5686,0.6,0.5,0.503,0.27
5687,0.4,0.5,0.467,0.365
5688,0.6,0.367,0.473,0.309
5689,0.4,0.367,0.467,0.357
5690,0.533,0.5,0.534,0.231
5691,0.533,0.1,0.467,0.357
5692,0.6,0.1,0.534,0.231
5693,0.467,0.5,0.473,0.309
5694,0.467,0.5,0.473,0.309
5695,0.4,0.5,0.467,0.365
5696,0.6,0.5,0.467,0.365
5697,0.4,0.1,0.503,0.27
5698,0.533,0.233,0.473,0.309
5699,0.467,0.5,0.473,0.309
5700,0.6,0.1,0.534,0.231
5701,0.533,0.5,0.467,0.357
5702,0.6,0.1,0.467,0.357
5703,0.4,0.1,0.473,0.309
5704,0.4,0.5,0.503,0.27
5705,0.4,0.1,0.534,0.231
5706,0.6,0.5,0.473,0.309
5707,0.6,0.5,0.467,0.365
5708,0.4,0.233,0.473,0.309
5709,0.4,0.233,0.473,0.309
5710,0.467,0.367,0.534,0.231
5711,0.6,0.5,0.473,0.309
5712,0.6,0.5,0.503,0.27
5713,0.6,0.367,0.467,0.365
5714,0.6,0.367,0.503,0.27
5715,0.4,0.1,0.467,0.357
5716,0.4,0.5,0.467,0.365
5717,0.467,0.5,0.467,0.365
5718,0.533,0.1,0.473,0.309
5719,0.6,0.367,0.467,0.357
5720,0.4,0.233,0.467,0.357
5721,0.467,0.1,0.467,0.357
5722,0.4,0.367,0.473,0.309
5723,0.6,0.5,0.534,0.231
5724,0.467,0.367,0.503,0.27
5725,0.467,0.367,0.534,0.231
5726,0.467,0.1,0.503,0.27
5727,0.533,0.5,0.503,0.27
5728,0.4,0.1,0.473,0.309
5729,0.467,0.1,0.473,0.309
5730,0.533,0.1,0.467,0.365
5731,0.533,0.1,0.467,0.357
5732,0.533,0.1,0.473,0.309
5733,0.4,0.5,0.473,0.309
5734,0.6,0.5,0.503,0.27
5735,0.6,0.367,0.503,0.27
5736,0.4,0.233,0.467,0.365
5737,0.533,0.5,0.467,0.365
5738,0.467,0.1,0.503,0.27
5739,0.467,0.1,0.467,0.357
5740,0.467,0.367,0.473,0.309
5741,0.4,0.5,0.473,0.309
5742,0.533,0.1,0.467,0.365
5743,0.4,0.233,0.473,0.309
5744,0.467,0.367,0.503,0.27
5745,0.533,0.5,0.467,0.365
5746,0.467,0.233,0.473,0.309
5747,0.6,0.367,0.467,0.365
5748,0.6,0.5,0.503,0.27
5749,0.6,0.1,0.473,0.309
5750,0.533,0.1,0.503,0.27
5751,0.467,0.5,0.467,0.365
5752,0.4,0.233,0.503,0.27
5753,0.467,0.1,0.534,0.231
5754,0.4,0.233,0.56,0.2
5755,0.467,0.5,0.467,0.365
5756,0.533,0.233,0.503,0.27
5757,0.6,0.5,0.467,0.357
5758,0.6,0.1,0.534,0.231
5759,0.4,0.5,0.467,0.365
5760,0.467,0.5,0.467,0.365
5761,0.6,0.5,0.503,0.27
5762,0.6,0.5,0.473,0.309
5763,0.467,0.5,0.473,0.309
5764,0.467,0.233,0.503,0.27
5765,0.6,0.5,0.467,0.357
5766,0.467,0.5,0.473,0.309
5767,0.4,0.5,0.467,0.365
5768,0.467,0.233,0.534,0.231
5769,0.467,0.233,0.503,0.27
5770,0.467,0.5,0.467,0.365
5771,0.6,0.1,0.473,0.309
5772,0.4,0.367,0.467,0.365
5773,0.467,0.5,0.473,0.309
5774,0.4,0.5,0.473,0.309
5775,0.467,0.1,0.467,0.357
5776,0.467,0.367,0.503,0.27
5777,0.6,0.1,0.473,0.309
5778,0.533,0.367,0.467,0.365
5779,0.6,0.1,0.534,0.231
5780,0.533,0.367,0.503,0.27
5781,0.467,0.5,0.503,0.27
5782,0.533,0.1,0.473,0.309
5783,0.533,0.1,0.503,0.27
5784,0.4,0.1,0.503,0.27
5785,0.467,0.1,0.473,0.309
5786,0.467,0.367,0.473,0.309
5787,0.533,0.5,0.473,0.309
5788,0.467,0.5,0.473,0.309
5789,0.467,0.5,0.534,0.231
5790,0.533,0.367,0.467,0.365
5791,0.467,0.5,0.503,0.27
5792,0.4,0.5,0.503,0.27
5793,0.6,0.367,0.503,0.27
5794,0.4,0.5,0.503,0.27
5795,0.467,0.1,0.473,0.309
5796,0.4,0.1,0.473,0.309
5797,0.6,0.5,0.473,0.309
5798,0.4,0.5,0.503,0.27
5799,0.467,0.1,0.473,0.309
5800,0.533,0.5,0.503,0.27
5801,0.6,0.367,0.503,0.27
5802,0.467,0.5,0.534,0.231
5803,0.4,0.367,0.467,0.365
5804,0.467,0.367,0.467,0.365
5805,0.533,0.233,0.503,0.27
5806,0.467,0.233,0.534,0.231
5807,0.6,0.1,0.534,0.231
5808,0.467,0.5,0.473,0.309
5809,0.467,0.367,0.503,0.27
5810,0.6,0.1,0.473,0.309
5811,0.4,0.5,0.503,0.27
5812,0.6,0.367,0.534,0.231
5813,0.467,0.5,0.467,0.357
5814,0.533,0.233,0.467,0.357
5815,0.533,0.1,0.473,0.309
5816,0.467,0.233,0.473,0.309
5817,0.533,0.5,0.467,0.365
5818,0.467,0.233,0.467,0.365
5819,0.6,0.233,0.473,0.309
5820,0.467,0.5,0.503,0.27
5821,0.533,0.1,0.467,0.357
5822,0.4,0.233,0.473,0.309
5823,0.4,0.367,0.473,0.309
5824,0.6,0.5,0.534,0.231
5825,0.533,0.233,0.503,0.27
5826,0.533,0.1,0.473,0.309
5827,0.467,0.367,0.503,0.27
5828,0.467,0.1,0.534,0.231
5829,0.467,0.233,0.467,0.365
5830,0.6,0.233,0.503,0.27
5831,0.467,0.1,0.534,0.231
5832,0.533,0.1,0.503,0.27
5833,0.6,0.5,0.473,0.309
5834,0.4,0.367,0.473,0.309
5835,0.467,0.367,0.467,0.365
5836,0.4,0.233,0.534,0.231
5837,0.467,0.233,0.534,0.231
5838,0.533,0.5,0.467,0.365
5839,0.533,0.5,0.503,0.27
5840,0.4,0.5,0.534,0.231
5841,0.6,0.5,0.503,0.27
5842,0.533,0.5,0.467,0.357
5843,0.4,0.5,0.503,0.27
5844,0.533,0.233,0.467,0.357
5845,0.467,0.1,0.467,0.365
5846,0.6,0.5,0.534,0.231
5847,0.6,0.1,0.473,0.309
5848,0.533,0.367,0.534,0.231
5849,0.6,0.233,0.473,0.309
5850,0.533,0.367,0.467,0.365
5851,0.6,0.367,0.473,0.309
5852,0.6,0.233,0.467,0.357
5853,0.4,0.367,0.587,0.169
5854,0.6,0.233,0.503,0.27
5855,0.467,0.367,0.473,0.309
5856,0.4,0.1,0.467,0.357
5857,0.4,0.233,0.534,0.231
5858,0.467,0.233,0.503,0.27
5859,0.6,0.367,0.467,0.365
5860,0.6,0.1,0.473,0.309
5861,0.533,0.1,0.503,0.27
5862,0.4,0.5,0.467,0.365
5863,0.533,0.367,0.473,0.309
5864,0.533,0.367,0.503,0.27
5865,0.4,0.367,0.534,0.231
5866,0.6,0.233,0.534,0.231
5867,0.533,0.5,0.473,0.309
5868,0.533,0.5,0.473,0.309
5869,0.4,0.367,0.473,0.309
5870,0.467,0.5,0.473,0.309
5871,0.533,0.233,0.473,0.309
5872,0.4,0.367,0.503,0.27
5873,0.6,0.367,0.534,0.231
5874,0.533,0.233,0.534,0.231
5875,0.4,0.367,0.467,0.365
5876,0.4,0.1,0.503,0.27
5877,0.533,0.233,0.503,0.27
5878,0.6,0.5,0.503,0.27
5879,0.467,0.5,0.503,0.27
5880,0.4,0.233,0.534,0.231
5881,0.4,0.1,0.473,0.309
5882,0.533,0.5,0.534,0.231
5883,0.467,0.233,0.534,0.231
5884,0.467,0.5,0.473,0.309
5885,0.467,0.233,0.534,0.231
5886,0.6,0.367,0.503,0.27
5887,0.4,0.1,0.473,0.309
5888,0.4,0.5,0.503,0.27
5889,0.467,0.367,0.503,0.27
5890,0.6,0.233,0.534,0.231
5891,0.6,0.5,0.503,0.27
5892,0.467,0.5,0.503,0.27
5893,0.533,0.5,0.467,0.365
5894,0.533,0.1,0.503,0.27
5895,0.6,0.367,0.503,0.27
5896,0.467,0.1,0.534,0.231
5897,0.467,0.1,0.467,0.357
5898,0.533,0.1,0.534,0.231
5899,0.6,0.1,0.473,0.309
5900,0.467,0.367,0.473,0.309
5901,0.533,0.367,0.467,0.357
5902,0.533,0.1,0.473,0.309
5903,0.6,0.5,0.503,0.27
5904,0.533,0.233,0.534,0.231
5905,0.4,0.367,0.503,0.27
5906,0.467,0.233,0.467,0.365
5907,0.4,0.5,0.503,0.27
5908,0.467,0.5,0.503,0.27
5909,0.467,0.367,0.503,0.27
5910,0.4,0.5,0.503,0.27
5911,0.4,0.233,0.534,0.231
5912,0.533,0.367,0.503,0.27
5913,0.6,0.1,0.467,0.357
5914,0.467,0.367,0.467,0.365
5915,0.4,0.5,0.503,0.27
5916,0.4,0.1,0.534,0.231
5917,0.6,0.1,0.503,0.27
5918,0.4,0.5,0.473,0.309
5919,0.6,0.233,0.467,0.365
5920,0.6,0.5,0.467,0.365
5921,0.467,0.5,0.473,0.309
5922,0.533,0.5,0.473,0.309
5923,0.467,0.5,0.473,0.309
5924,0.4,0.233,0.503,0.27
5925,0.6,0.1,0.503,0.27
5926,0.4,0.367,0.473,0.309
5927,0.4,0.5,0.56,0.2
5928,0.533,0.367,0.503,0.27
5929,0.6,0.5,0.503,0.27
5930,0.6,0.1,0.467,0.357
5931,0.467,0.233,0.534,0.231
5932,0.533,0.233,0.503,0.27
5933,0.6,0.233,0.534,0.231
5934,0.6,0.5,0.503,0.27
5935,0.533,0.367,0.503,0.27
5936,0.4,0.5,0.503,0.27
5937,0.467,0.233,0.534,0.231
5938,0.533,0.1,0.467,0.357
5939,0.467,0.367,0.473,0.309
5940,0.533,0.367,0.467,0.357
5941,0.467,0.367,0.467,0.357
5942,0.533,0.5,0.503,0.27
5943,0.467,0.367,0.467,0.357
5944,0.4,0.1,0.534,0.231
5945,0.6,0.233,0.467,0.357
5946,0.6,0.367,0.473,0.309
5947,0.533,0.5,0.503,0.27
5948,0.4,0.233,0.473,0.309
5949,0.6,0.233,0.473,0.309
5950,0.533,0.5,0.473,0.309
5951,0.4,0.367,0.467,0.365
5952,0.533,0.1,0.473,0.309
5953,0.4,0.5,0.503,0.27
5954,0.4,0.367,0.503,0.27
5955,0.4,0.1,0.473,0.309
5956,0.6,0.367,0.534,0.231
5957,0.4,0.1,0.503,0.27
5958,0.6,0.367,0.467,0.357
5959,0.6,0.367,0.503,0.27
5960,0.533,0.233,0.467,0.365
5961,0.4,0.5,0.467,0.357
5962,0.6,0.5,0.503,0.27
5963,0.6,0.367,0.503,0.27
5964,0.533,0.233,0.503,0.27
5965,0.533,0.233,0.534,0.231
5966,0.4,0.1,0.473,0.309
5967,0.4,0.5,0.503,0.27
5968,0.6,0.5,0.467,0.365
5969,0.533,0.5,0.467,0.357
5970,0.6,0.1,0.534,0.231
5971,0.4,0.1,0.534,0.231
5972,0.533,0.5,0.473,0.309
5973,0.4,0.5,0.467,0.365
5974,0.533,0.233,0.467,0.357
5975,0.4,0.1,0.467,0.357
5976,0.4,0.1,0.534,0.231
5977,0.533,0.1,0.473,0.309
5978,0.6,0.5,0.473,0.309
5979,0.6,0.367,0.467,0.357
5980,0.4,0.1,0.473,0.309
5981,0.6,0.367,0.467,0.365
5982,0.6,0.233,0.534,0.231
5983,0.533,0.367,0.503,0.27
5984,0.6,0.5,0.473,0.309
5985,0.6,0.233,0.503,0.27
5986,0.533,0.367,0.534,0.231
5987,0.6,0.233,0.467,0.357
5988,0.4,0.1,0.473,0.309
5989,0.467,0.1,0.473,0.309
5990,0.4,0.233,0.467,0.357
5991,0.4,0.5,0.467,0.357
5992,0.533,0.367,0.473,0.309
5993,0.4,0.1,0.503,0.27
5994,0.467,0.367,0.503,0.27
5995,0.6,0.1,0.473,0.309
5996,0.533,0.5,0.473,0.309
5997,0.4,0.5,0.473,0.309
5998,0.467,0.1,0.503,0.27
5999,0.467,0.5,0.473,0.309
6000,0.4,0.5,0.503,0.27
6001,0.4,0.1,0.467,0.365
6002,0.6,0.5,0.534,0.231
6003,0.533,0.1,0.534,0.231
6004,0.4,0.5,0.467,0.365
6005,0.6,0.1,0.534,0.231
6006,0.4,0.1,0.473,0.309
6007,0.533,0.233,0.473,0.309
6008,0.467,0.1,0.534,0.231
6009,0.6,0.5,0.473,0.309
6010,0.467,0.233,0.534,0.231
6011,0.4,0.1,0.503,0.27
6012,0.467,0.367,0.534,0.231
6013,0.4,0.5,0.467,0.357
6014,0.4,0.1,0.473,0.309
6015,0.4,0.5,0.467,0.365
6016,0.467,0.367,0.503,0.27
6017,0.4,0.367,0.467,0.365
6018,0.467,0.1,0.503,0.27
6019,0.533,0.1,0.473,0.309
6020,0.6,0.367,0.503,0.27
6021,0.4,0.367,0.467,0.357
6022,0.467,0.233,0.534,0.231
6023,0.4,0.5,0.473,0.309
6024,0.4,0.1,0.467,0.357
6025,0.6,0.5,0.473,0.309
6026,0.533,0.367,0.467,0.357
6027,0.467,0.5,0.467,0.365
6028,0.4,0.1,0.473,0.309
6029,0.467,0.233,0.467,0.357
6030,0.533,0.5,0.503,0.27
6031,0.467,0.233,0.534,0.231
6032,0.533,0.367,0.473,0.309
6033,0.467,0.1,0.534,0.231
6034,0.467,0.233,0.503,0.27
6035,0.533,0.367,0.534,0.231
6036,0.467,0.233,0.534,0.231
6037,0.6,0.1,0.503,0.27
6038,0.467,0.5,0.503,0.27
6039,0.4,0.5,0.503,0.27
6040,0.467,0.367,0.473,0.309
6041,0.467,0.367,0.473,0.309
6042,0.533,0.367,0.467,0.365
6043,0.533,0.1,0.473,0.309
6044,0.467,0.1,0.467,0.365
6045,0.6,0.5,0.503,0.27
6046,0.6,0.233,0.503,0.27
6047,0.4,0.233,0.503,0.27
6048,0.4,0.1,0.473,0.309
6049,0.4,0.5,0.473,0.309
6050,0.6,0.1,0.467,0.357
6051,0.4,0.367,0.467,0.357
6052,0.4,0.367,0.503,0.27
6053,0.6,0.367,0.473,0.309
6054,0.6,0.5,0.503,0.27
6055,0.6,0.233,0.503,0.27
6056,0.4,0.5,0.503,0.27
6057,0.467,0.1,0.467,0.357
6058,0.4,0.5,0.467,0.365
6059,0.533,0.1,0.467,0.357
6060,0.4,0.5,0.534,0.231
6061,0.4,0.1,0.534,0.231
6062,0.4,0.367,0.467,0.357
6063,0.467,0.367,0.473,0.309
6064,0.6,0.367,0.473,0.309
6065,0.467,0.1,0.473,0.309
6066,0.4,0.1,0.467,0.357
6067,0.533,0.1,0.503,0.27
6068,0.6,0.367,0.534,0.231
6069,0.467,0.367,0.503,0.27
6070,0.4,0.1,0.473,0.309
6071,0.6,0.1,0.503,0.27
6072,0.533,0.367,0.534,0.231
6073,0.4,0.367,0.503,0.27
6074,0.467,0.5,0.467,0.365
6075,0.6,0.367,0.467,0.365
6076,0.6,0.367,0.534,0.231
6077,0.467,0.367,0.534,0.231
6078,0.4,0.233,0.534,0.231
6079,0.4,0.233,0.534,0.231
6080,0.6,0.5,0.473,0.309
6081,0.467,0.1,0.534,0.231
6082,0.533,0.1,0.473,0.309
6083,0.4,0.5,0.467,0.357
6084,0.533,0.233,0.473,0.309
6085,0.6,0.233,0.503,0.27
6086,0.6,0.233,0.467,0.357
6087,0.6,0.5,0.503,0.27
6088,0.533,0.367,0.503,0.27
6089,0.533,0.233,0.473,0.309
6090,0.4,0.5,0.503,0.27
6091,0.4,0.1,0.467,0.365
6092,0.467,0.5,0.473,0.309
6093,0.467,0.367,0.473,0.309
6094,0.4,0.367,0.473,0.309
6095,0.6,0.233,0.473,0.309
6096,0.533,0.367,0.503,0.27
6097,0.4,0.1,0.473,0.309
6098,0.467,0.367,0.473,0.309
6099,0.533,0.5,0.503,0.27
6100,0.533,0.367,0.473,0.309
6101,0.467,0.5,0.503,0.27
6102,0.533,0.233,0.534,0.231
6103,0.533,0.367,0.467,0.365
6104,0.4,0.233,0.473,0.309
6105,0.467,0.367,0.473,0.309
6106,0.6,0.233,0.467,0.357
6107,0.4,0.5,0.534,0.231
6108,0.4,0.5,0.467,0.357
6109,0.4,0.1,0.503,0.27
6110,0.4,0.367,0.467,0.365
6111,0.6,0.1,0.503,0.27
6112,0.6,0.233,0.534,0.231
6113,0.4,0.5,0.503,0.27
6114,0.4,0.233,0.503,0.27
6115,0.467,0.233,0.473,0.309
6116,0.467,0.1,0.503,0.27
6117,0.4,0.5,0.503,0.27
6118,0.6,0.1,0.503,0.27
6119,0.4,0.367,0.467,0.365
6120,0.6,0.5,0.467,0.365
6121,0.6,0.233,0.467,0.365
6122,0.4,0.1,0.467,0.357
6123,0.533,0.5,0.467,0.357
6124,0.467,0.233,0.503,0.27
6125,0.467,0.367,0.467,0.357
6126,0.467,0.367,0.503,0.27
6127,0.533,0.367,0.473,0.309
6128,0.467,0.5,0.503,0.27
6129,0.6,0.5,0.503,0.27
6130,0.467,0.5,0.473,0.309
6131,0.533,0.367,0.503,0.27
6132,0.6,0.367,0.534,0.231
6133,0.4,0.367,0.503,0.27
6134,0.6,0.1,0.503,0.27
6135,0.6,0.1,0.503,0.27
6136,0.6,0.367,0.473,0.309
6137,0.4,0.233,0.467,0.357
6138,0.533,0.5,0.503,0.27
6139,0.467,0.1,0.473,0.309
6140,0.4,0.367,0.503,0.27
6141,0.4,0.5,0.503,0.27
6142,0.6,0.367,0.534,0.231
6143,0.467,0.367,0.503,0.27
6144,0.533,0.1,0.473,0.309
6145,0.4,0.233,0.473,0.309
6146,0.6,0.367,0.473,0.309
6147,0.467,0.5,0.467,0.357
6148,0.4,0.367,0.467,0.365
6149,0.6,0.5,0.503,0.27
6150,0.467,0.5,0.467,0.365
6151,0.6,0.367,0.503,0.27
6152,0.6,0.367,0.473,0.309
6153,0.4,0.5,0.503,0.27
6154,0.467,0.5,0.503,0.27
6155,0.4,0.1,0.503,0.27
6156,0.4,0.1,0.503,0.27
6157,0.4,0.367,0.467,0.357
6158,0.467,0.367,0.467,0.365
6159,0.6,0.5,0.473,0.309
6160,0.4,0.5,0.503,0.27
6161,0.467,0.367,0.56,0.2
6162,0.6,0.233,0.467,0.365
6163,0.6,0.367,0.503,0.27
6164,0.533,0.5,0.534,0.231
6165,0.4,0.233,0.467,0.365
6166,0.467,0.5,0.467,0.365
6167,0.533,0.5,0.473,0.309
6168,0.533,0.367,0.503,0.27
6169,0.4,0.367,0.473,0.309
6170,0.533,0.233,0.503,0.27
6171,0.467,0.233,0.467,0.365
6172,0.533,0.1,0.473,0.309
6173,0.467,0.1,0.467,0.357
6174,0.4,0.1,0.467,0.357
6175,0.533,0.1,0.473,0.309
6176,0.4,0.1,0.467,0.357
6177,0.4,0.5,0.467,0.365
6178,0.533,0.1,0.473,0.309
6179,0.467,0.233,0.473,0.309
6180,0.6,0.5,0.473,0.309
6181,0.4,0.233,0.473,0.309
6182,0.4,0.5,0.467,0.357
6183,0.4,0.367,0.503,0.27
6184,0.6,0.5,0.467,0.365
6185,0.6,0.5,0.473,0.309
6186,0.4,0.367,0.467,0.357
6187,0.533,0.1,0.534,0.231
6188,0.6,0.367,0.503,0.27
6189,0.6,0.5,0.467,0.365
6190,0.533,0.5,0.473,0.309
6191,0.533,0.1,0.503,0.27
6192,0.4,0.1,0.467,0.365
6193,0.4,0.367,0.473,0.309
6194,0.467,0.1,0.503,0.27
6195,0.467,0.1,0.503,0.27
6196,0.6,0.5,0.473,0.309
6197,0.533,0.367,0.467,0.365
6198,0.6,0.1,0.473,0.309
6199,0.4,0.233,0.534,0.231
6200,0.4,0.233,0.473,0.309
6201,0.6,0.5,0.56,0.2
6202,0.533,0.233,0.473,0.309
6203,0.533,0.5,0.467,0.357
6204,0.533,0.1,0.503,0.27
6205,0.6,0.1,0.503,0.27
6206,0.533,0.1,0.503,0.27
6207,0.4,0.1,0.473,0.309
6208,0.4,0.5,0.467,0.365
6209,0.6,0.233,0.503,0.27
6210,0.4,0.367,0.467,0.365
6211,0.4,0.1,0.467,0.357
6212,0.467,0.5,0.534,0.231
6213,0.533,0.1,0.473,0.309
6214,0.467,0.367,0.473,0.309
6215,0.533,0.233,0.503,0.27
6216,0.533,0.233,0.467,0.357
6217,0.533,0.367,0.503,0.27
6218,0.467,0.5,0.467,0.357
6219,0.467,0.1,0.473,0.309
6220,0.467,0.1,0.473,0.309
6221,0.467,0.233,0.473,0.309
6222,0.4,0.367,0.473,0.309
6223,0.6,0.1,0.534,0.231
6224,0.533,0.5,0.503,0.27
6225,0.4,0.1,0.503,0.27
6226,0.467,0.5,0.473,0.309
6227,0.6,0.233,0.503,0.27
6228,0.4,0.233,0.534,0.231
6229,0.4,0.5,0.467,0.365
6230,0.4,0.5,0.503,0.27
6231,0.4,0.367,0.467,0.365
6232,0.533,0.367,0.56,0.2
6233,0.4,0.5,0.467,0.365
6234,0.6,0.367,0.503,0.27
6235,0.533,0.367,0.503,0.27
6236,0.4,0.1,0.503,0.27
6237,0.467,0.1,0.534,0.231
6238,0.533,0.233,0.467,0.365
6239,0.533,0.5,0.503,0.27
6240,0.533,0.1,0.534,0.231
6241,0.6,0.1,0.503,0.27
6242,0.4,0.1,0.473,0.309
6243,0.467,0.1,0.473,0.309
6244,0.4,0.233,0.503,0.27
6245,0.533,0.1,0.473,0.309
6246,0.467,0.367,0.473,0.309
6247,0.533,0.1,0.534,0.231
6248,0.6,0.5,0.503,0.27
6249,0.467,0.233,0.473,0.309
6250,0.4,0.1,0.473,0.309
6251,0.4,0.233,0.467,0.365
6252,0.4,0.1,0.467,0.357
6253,0.467,0.5,0.473,0.309
6254,0.467,0.1,0.473,0.309
6255,0.533,0.233,0.473,0.309
6256,0.467,0.1,0.503,0.27
6257,0.4,0.367,0.534,0.231
6258,0.6,0.1,0.503,0.27
6259,0.467,0.1,0.503,0.27
6260,0.6,0.367,0.467,0.365
6261,0.6,0.367,0.473,0.309
6262,0.533,0.233,0.503,0.27
6263,0.467,0.367,0.473,0.309
6264,0.467,0.367,0.534,0.231
6265,0.4,0.233,0.467,0.365
6266,0.4,0.1,0.534,0.231
6267,0.533,0.233,0.534,0.231
6268,0.467,0.5,0.467,0.357
6269,0.6,0.5,0.473,0.309
6270,0.4,0.1,0.503,0.27
6271,0.467,0.233,0.467,0.357
6272,0.4,0.5,0.503,0.27
6273,0.467,0.367,0.503,0.27
6274,0.6,0.367,0.503,0.27
6275,0.6,0.233,0.503,0.27
6276,0.533,0.1,0.473,0.309
6277,0.6,0.5,0.473,0.309
6278,0.533,0.367,0.467,0.365
6279,0.533,0.5,0.467,0.365
6280,0.533,0.367,0.503,0.27
6281,0.4,0.233,0.467,0.357
6282,0.4,0.367,0.467,0.365
6283,0.6,0.5,0.467,0.357
6284,0.6,0.1,0.534,0.231
6285,0.533,0.5,0.534,0.231
6286,0.533,0.5,0.467,0.357
6287,0.4,0.1,0.534,0.231
6288,0.6,0.367,0.467,0.357
6289,0.467,0.367,0.473,0.309
6290,0.6,0.367,0.503,0.27
6291,0.6,0.1,0.467,0.357
6292,0.533,0.233,0.503,0.27
6293,0.467,0.233,0.503,0.27
6294,0.467,0.1,0.534,0.231
6295,0.467,0.233,0.503,0.27
6296,0.6,0.233,0.473,0.309
6297,0.467,0.1,0.473,0.309
6298,0.467,0.1,0.473,0.309
6299,0.533,0.1,0.503,0.27
6300,0.6,0.1,0.503,0.27
6301,0.6,0.1,0.534,0.231
6302,0.4,0.5,0.534,0.231
6303,0.533,0.367,0.473,0.309
6304,0.6,0.367,0.534,0.231
6305,0.6,0.367,0.503,0.27
6306,0.533,0.5,0.503,0.27
6307,0.6,0.5,0.473,0.309
6308,0.533,0.367,0.467,0.365
6309,0.4,0.233,0.534,0.231
6310,0.6,0.5,0.473,0.309
6311,0.467,0.367,0.473,0.309
6312,0.6,0.367,0.467,0.357
6313,0.533,0.5,0.503,0.27
6314,0.533,0.1,0.503,0.27
6315,0.533,0.1,0.534,0.231
6316,0.467,0.367,0.467,0.365
6317,0.533,0.367,0.503,0.27
6318,0.6,0.1,0.503,0.27
6319,0.533,0.233,0.473,0.309
6320,0.467,0.1,0.473,0.309
6321,0.4,0.5,0.473,0.309
6322,0.6,0.233,0.473,0.309
6323,0.6,0.367,0.473,0.309
6324,0.533,0.367,0.467,0.365
6325,0.4,0.367,0.534,0.231
6326,0.467,0.1,0.503,0.27
6327,0.6,0.5,0.534,0.231
6328,0.467,0.5,0.467,0.357
6329,0.6,0.1,0.503,0.27
6330,0.533,0.367,0.473,0.309
6331,0.6,0.367,0.534,0.231
6332,0.6,0.367,0.467,0.365
6333,0.4,0.5,0.503,0.27
6334,0.533,0.233,0.473,0.309
6335,0.4,0.1,0.467,0.365
6336,0.533,0.367,0.473,0.309
6337,0.4,0.233,0.467,0.365
6338,0.533,0.233,0.473,0.309
6339,0.467,0.5,0.467,0.365
6340,0.6,0.1,0.503,0.27
6341,0.533,0.367,0.473,0.309
6342,0.533,0.233,0.534,0.231
6343,0.533,0.1,0.503,0.27
6344,0.4,0.5,0.503,0.27
6345,0.6,0.233,0.534,0.231
6346,0.6,0.5,0.473,0.309
6347,0.4,0.233,0.473,0.309
6348,0.4,0.233,0.467,0.365
6349,0.467,0.1,0.467,0.357
6350,0.6,0.1,0.503,0.27
6351,0.4,0.233,0.467,0.365
6352,0.467,0.367,0.534,0.231
6353,0.4,0.5,0.503,0.27
6354,0.467,0.1,0.503,0.27
6355,0.4,0.367,0.473,0.309
6356,0.6,0.1,0.473,0.309
6357,0.6,0.1,0.534,0.231
6358,0.467,0.1,0.467,0.357
6359,0.533,0.1,0.473,0.309
6360,0.467,0.233,0.473,0.309
6361,0.6,0.233,0.473,0.309
6362,0.467,0.5,0.467,0.365
6363,0.4,0.1,0.467,0.357
6364,0.533,0.1,0.473,0.309
6365,0.6,0.5,0.473,0.309
6366,0.467,0.233,0.534,0.231
6367,0.4,0.5,0.473,0.309
6368,0.6,0.1,0.473,0.309
6369,0.4,0.367,0.473,0.309
6370,0.533,0.1,0.503,0.27
6371,0.533,0.1,0.467,0.357
6372,0.4,0.5,0.473,0.309
6373,0.6,0.233,0.473,0.309
6374,0.533,0.5,0.503,0.27
6375,0.467,0.1,0.467,0.365
6376,0.6,0.233,0.473,0.309
6377,0.6,0.1,0.473,0.309
6378,0.4,0.367,0.473,0.309
6379,0.6,0.367,0.534,0.231
6380,0.467,0.5,0.467,0.365
6381,0.4,0.233,0.467,0.357
6382,0.4,0.1,0.467,0.365
6383,0.533,0.5,0.467,0.365
6384,0.533,0.1,0.473,0.309
6385,0.6,0.5,0.503,0.27
6386,0.533,0.367,0.473,0.309
6387,0.533,0.367,0.467,0.357
6388,0.533,0.1,0.503,0.27
6389,0.4,0.233,0.467,0.357
6390,0.6,0.1,0.503,0.27
6391,0.6,0.1,0.534,0.231
6392,0.6,0.5,0.473,0.309
6393,0.6,0.1,0.467,0.357
6394,0.4,0.367,0.534,0.231
6395,0.467,0.233,0.534,0.231
6396,0.533,0.5,0.473,0.309
6397,0.4,0.1,0.467,0.357
6398,0.467,0.367,0.503,0.27
6399,0.6,0.367,0.473,0.309
6400,0.533,0.5,0.503,0.27
6401,0.6,0.233,0.473,0.309
